title,kicker,image,link,source,word_count,char_count,capitalized_words,scraped_at,id
Hawaii Senate approves bill to legalize online sports betting and fantasy sports,HEADS BACK TO HOUSE FOR CONCURRENCE,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/03/06/73224/1741271483-legislatura-hawaii.jpg,https://www.yogonet.com/international/news/2025/04/09/100988-hawaii-senate-approves-bill-to-legalize-online-sports-betting-and-fantasy-sports,yogonet.com,12,80,"['Hawaii', 'Senate']",2025-04-10,333961453e7c30cd7dd50d1d4490bb00
Atlantic County reaches $15 million settlement in casino PILOT lawsuit,2021 LEGAL DISPUTE COMES TO AN END,https://imagenesyogonet.b-cdn.net/data/imagenes/2020/08/12/32428/1625355424-vista-atlantic-city-12.jpg,https://www.yogonet.com/international/news/2025/04/09/100990-atlantic-county-reaches-15-million-settlement-in-casino-pilot-lawsuit,yogonet.com,10,70,"['Atlantic', 'County']",2025-04-10,0feffe8f5017a3968f63aa32a0a9fc1a
"First day of BiS SiGMA Americas highlights new betting legal framework, optimism for the sector's future",EVENT CONTINUES THIS WEDNESDAY,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/09/74418/1744207271-bis-sigma-2025-3-04-pasillo-generica.jpg,https://www.yogonet.com/international/news/2025/04/09/100998-first-day-of-bis-sigma-americas-highlights-new-betting-legal-framework-optimism-for-the-sector-39s-future,yogonet.com,16,104,"['First', 'Americas']",2025-04-10,25f0658a1add43abc2d580257801e915
Oklahoma sports betting bill pulled from agenda hours before key vote in state legislature,MOBILE WAGERING PLAN DELAYED AGAIN,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/01/06/71221/1736186263-capitolio-oklahoma-02.jpg,https://www.yogonet.com/international/news/2025/04/08/100898-oklahoma-sports-betting-bill-pulled-from-agenda-hours-before-key-vote-in-state-legislature,yogonet.com,14,90,['Oklahoma'],2025-04-10,3d21e901e29bd8ab38b199e1bb91bd3c
MGM Resorts eyeing Las Vegas revenue boost from fee increases,INCREASED PARKING FEES AND ATM CHARGES,https://imagenesyogonet.b-cdn.net/data/imagenes/2021/09/21/39299/1633371931-mgm-grand-hotel-casino-vegas-05.jpg,https://www.yogonet.com/international/news/2025/04/08/100873-mgm-resorts-eyeing-las-vegas-revenue-boost-from-fee-increases,yogonet.com,10,61,"['Resorts', 'Las', 'Vegas']",2025-04-10,7c0cf81ab59d26b9a3060049d8272f59
PENN Entertainment launches stand-alone online casino app theScore Casino in Ontario,AVAILABLE ON ANDROID AND IOS,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/08/74362/1744135959-penn-entertainment-thescore-ontario.jpg,https://www.yogonet.com/international/news/2025/04/09/100902-penn-entertainment-launches-standalone-online-casino-app-thescore-casino-in-ontario,yogonet.com,11,84,"['Entertainment', 'Casino', 'Ontario']",2025-04-10,c86e18d87fc7797dbd50a8548713d888
Brazil establishes oversight team to monitor sports betting platforms for legal compliance,PUBLISHED ON 7 APRIL,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/04/02/63048/1712068638-brazil-keyboard-flag.jpg,https://www.yogonet.com/international/news/2025/04/09/100909-brazil-establishes-oversight-team-to-monitor-sports-betting-platforms-for-legal-compliance,yogonet.com,12,90,['Brazil'],2025-04-10,c9111957070519ce024d05ef494225a7
Rivalry announces evaluation of strategic alternatives with XST Capital Group,TO MAXIMIZE STAKEHOLDER VALUE,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/05/31/54947/1685540507-rivalry-esports-betting-app-ontario.jpg,https://www.yogonet.com/international/news/2025/04/08/100886-rivalry-announces-evaluation-of-strategic-alternatives-with-xst-capital-group,yogonet.com,10,77,"['Rivalry', 'Capital', 'Group']",2025-04-10,33c697573f0fadcb63a7a67f6f2d648a
Las Vegas’ The Strat adds more player-friendly games to casino offering,MORE 3:2 BLACKJACK TABLES,https://imagenesyogonet.b-cdn.net/data/imagenes/2022/08/08/48011/1659969354-the-strat-las-vegas.jpg,https://www.yogonet.com/international/news/2025/04/08/100872-las-vegas-the-strat-adds-moreplayerfriendly-games-to-casino-offering,yogonet.com,11,71,"['Las', 'Vegas’', 'The', 'Strat']",2025-04-10,6dc2296149ad7e8eec8a656f768a26ed
BMM Testlabs promotes company veteran Daniel Magarinos to Senior Director of Gaming – Latam,WITH THE COMPANY SINCE 2018,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/08/74355/1744123432-bmm-testlabs-promotes-daniel-magari%C3%B1os-senior-director-gaming-latam.jpg,https://www.yogonet.com/international/news/2025/04/09/100890-bmm-testlabs-promotes-company-veteran-daniel-magarinos-to-senior-director-of-gaming--latam,yogonet.com,14,91,"['Testlabs', 'Daniel', 'Magarinos', 'Senior', 'Director', 'Gaming', 'Latam']",2025-04-10,3f6225bdd43adf231b9e281c6278faf1
Louisiana bill targeting social casinos sparks backlash from sweepstakes gaming operators,SENATE BILL 181,https://imagenesyogonet.b-cdn.net/data/imagenes/2020/05/06/31160/1625350382-legislatura-louisiana-state-capitol-building-usa.jpg,https://www.yogonet.com/international/news/2025/04/08/100883-louisiana-bill-targeting-social-casinos-sparks-backlash-from-sweepstakes-gaming-operators,yogonet.com,11,89,['Louisiana'],2025-04-10,7d9fc0614b5ab59079f3066b8e3422d6
Illinois bill seeks to classify compulsive gambling as substance abuse disorder,TO EXPAND RESOURCES FOR TREATMENT,https://imagenesyogonet.b-cdn.net/data/imagenes/2019/05/10/25284/1625326804-legislatura-illinois-state-capitol-usa.jpg,https://www.yogonet.com/international/news/2025/04/08/100879-illinois-bill-seeks-to-classify-compulsive-gambling-as-substance-abuse-disorder,yogonet.com,11,79,['Illinois'],2025-04-10,d7dab5b77e7cb678da8e0cbe66821888
Novomatic successfully hosted its exclusive Novomatic Experience event in Argentina,"TOOK PLACE ON MARCH 19, BUENOS AIRES",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/08/74359/1744135907-novomatic-experiencia-sagse-latam-2025-04.jpg,https://www.yogonet.com/international/news/2025/04/09/100901-novomatic-successfully-hosted-its-exclusive-novomatic-experience-event-in-argentina,yogonet.com,10,83,"['Novomatic', 'Novomatic', 'Experience', 'Argentina']",2025-04-10,6703529a11425c47a52e8d1e3fb3b577
Atlantic City's Ocean Casino partners with restauranteur Stephen Starr to launch two new eateries,TO OPEN THIS SUMMER,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/07/74341/1744045031-stephen-starr-starr-restaurants.jpg,https://www.yogonet.com/international/news/2025/04/08/100787-atlantic-city-39s-ocean-casino-partners-with-restauranteur-stephen-starr-to-launch-two-new-eateries,yogonet.com,14,97,"['Atlantic', 'Ocean', 'Casino', 'Stephen', 'Starr']",2025-04-10,20a9cbd08c724aa3f805230d39e30830
MARE BALTICUM Gaming & TECH Summit 2025's previews new format with feature multi-room setup,"MAY 27 - 28, VILNIUS",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/07/74333/1744039730-mare-balticum-gaming-tech-summit-generica.jpg,https://www.yogonet.com/international/news/2025/04/08/100779-mare-balticum-gaming-tech-summit-2025-39s-previews-new-format-with-feature-multiroom-setup,yogonet.com,14,91,"['Gaming', 'Summit']",2025-04-10,3e1ae429b829c2d8398eb4f85df8882c
Gaming in Spain Conference confirms DGOJ's Mikel Arana as keynote speaker,"JUNE 26, MADRID",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/09/74375/1744202315-gaming-in-spain-2025-madrid.jpg,https://www.yogonet.com/international/news/2025/04/09/100984-gaming-in-spain-conference-confirms-dgoj-39s-mikel-arana-as-keynote-speaker,yogonet.com,11,73,"['Gaming', 'Spain', 'Conference', 'Mikel', 'Arana']",2025-04-10,4f23a9c55e801dd04ace8256d7b1aeef
"In the coming years, Argentina will be one of EGT’s main focuses within the LATAM region","CHRISTIAN GRAFFIGNA, DIRECTOR OF EGT ARGENTINA",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/09/74460/1744209125-christian-graffigna-director-egt-argentina.jpg,https://www.yogonet.com/international/news/2025/04/09/101004--34in-the-coming-years-argentina-will-be-one-of-egts-main-focuses-within-the-latam-region-34,yogonet.com,16,88,"['In', 'Argentina']",2025-04-10,6d5fbaabe4eef2b1d1537c44597c3283
Thailand postpones casino legalization debate following coalition government talks,CASINO BILL VOTE DELAYED,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/08/20/67073/1724168845-paetongtarn-shinawatra-primera-ministro-tailandia.jpg,https://www.yogonet.com/international/news/2025/04/08/100889-thailand-postpones-casino-legalization-debate-following-coalition-government-talks,yogonet.com,9,82,['Thailand'],2025-04-10,0a0e63b5053d5cb63882133b0012fa3e
Cyprus parliament approves casino exemption from cash transaction limit despite money laundering concerns,CRITICS WARN OF POTENTIAL EU BACKLASH,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/11/27/70392/1732716595-apuestas-juego-casino-generica-04.jpg,https://www.yogonet.com/international/news/2025/04/08/100793-cyprus-parliament-approves-casino-exemption-from-cash-transaction-limit-despite-money-laundering-concerns,yogonet.com,13,105,['Cyprus'],2025-04-10,334f2738f66c3301af9b8db62529a3a6
Gainr Group announces launch of new sports betting syndicate,ADMINISTERED BY SUNTERA GLOBAL,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/08/74350/1744116714-theo-koumis-ceo-founder-gainr-01.jpg,https://www.yogonet.com/international/news/2025/04/09/100874-gainr-group-announces-launch-of-new-sports-betting-syndicate,yogonet.com,9,60,"['Gainr', 'Group']",2025-04-10,85bdab451ce4ef7a6860b5d09d5bc9e2
AC Milan teams up with Brazilian betting operator Reals for regional partnership in Latin America,TO INCREASE AC MILAN'S BRAND VISIBILITY,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/04/74285/1743771931-reals-sponsor-milan-02.jpg,https://www.yogonet.com/international/news/2025/04/09/100794-ac-milan-teams-up-with-brazilian-betting-operator-reals-for-regional-partnership-in-latin-america,yogonet.com,15,97,"['Milan', 'Brazilian', 'Reals', 'Latin', 'America']",2025-04-10,a89c6324795914ed803b36eed9f09a17
"Atlantic City casino profits drop 9.3% to $675.1 million in 2024 amid rising costs, sluggish demand","CAESARS, HARD ROCK POST PROFIT GAINS",https://imagenesyogonet.b-cdn.net/data/imagenes/2022/11/18/50654/1668799999-vista-atlantic-city-casinos.jpg,https://www.yogonet.com/international/news/2025/04/08/100875-atlantic-city-casino-profits-drop-93-to-6751-million-in-2024-amid-rising-costs-sluggish-demand,yogonet.com,16,99,"['Atlantic', 'City']",2025-04-10,ca5f5accd56610005738951b6f1bc2b7
"Nebraska: New tariffs drive up costs, threaten War Horse Casino’s expansion plans",ACCORDING TO HO-CHUNK INC. CEO,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/01/09/51508/1673270339-lance-morgan-ceo-ho-chunk-02.jpg,https://www.yogonet.com/international/news/2025/04/07/100766-nebraska-new-tariffs-drive-up-costs-threaten-war-horse-casinos-expansion-plans,yogonet.com,12,81,"['Nebraska:', 'New', 'War', 'Horse']",2025-04-10,9e2c95298bce390bfebaa9f8da38ef4c
UK and Ireland gambling regulators sign MoU to strengthen cross-border cooperation,UKGC AND GRAI,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/26/72945/1740593786-juego-online-generica-23.jpg,https://www.yogonet.com/international/news/2025/04/07/100761-uk-and-ireland-gambling-regulators-sign-mou-to-strengthen-crossborder-cooperation,yogonet.com,11,82,['Ireland'],2025-04-10,107f47883142035e91682df06e69f087
French regulator greenlights gambling industry's harm reduction plans,AMID CALLS FOR STRICTER MEASURES,https://imagenesyogonet.b-cdn.net/data/imagenes/2022/10/28/50179/1666966393-vista-paris-francia.jpg,https://www.yogonet.com/international/news/2025/04/08/100869-french-regulator-greenlights-gambling-industry-39s-harm-reduction-plans,yogonet.com,8,69,['French'],2025-04-10,1ba28774dcf0129cd47e8af3d4472856
Baltimore sues DraftKings and FanDuel over alleged predatory gambling practices,ACCUSES THEM OF EXPLOITING VULNERABLE USERS,https://imagenesyogonet.b-cdn.net/data/imagenes/2020/03/04/30552/1625347924-draftkings-fanduel-fantasy-football-sports-03.jpg,https://www.yogonet.com/international/news/2025/04/07/100778-baltimore-sues-draftkings-and-fanduel-over-alleged-predatory-gambling-practices,yogonet.com,10,79,['Baltimore'],2025-04-10,fc264922f4b6a8af3fdfa1ca1c3f34ef
BiS SiGMA Americas 2025 kicks off with focus on online betting regulation in Brazil,EVENT RUNS UNTIL APRIL 10,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/04/26/63826/1714147652-bis-sigma-americas-2024-63-pasillo-generica.jpg,https://www.yogonet.com/international/news/2025/04/08/100767-bis-sigma-americas-2025-kicks-off-with-focus-on-online-betting-regulation-in-brazil,yogonet.com,14,83,"['Americas', 'Brazil']",2025-04-10,263ee1ddc3825ca781f1d3de49e649ef
SBC Summit Americas to feature Affiliate Leaders Summit for affiliate marketers in North and Latin America,"MAY 13-15, FLORIDA",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/07/74329/1744032943-sbc-summit-americas-2025-affiliate-leaders-summit.jpg,https://www.yogonet.com/international/news/2025/04/08/100772-sbc-summit-americas-to-feature-affiliate-leaders-summit-for-affiliate-marketers-in-north-and-latin-america,yogonet.com,16,106,"['Summit', 'Americas', 'Affiliate', 'Leaders', 'Summit', 'North', 'Latin', 'America']",2025-04-10,b54afc3d37d931a4b1c05b028b3e1e76
How seamless onboarding can turbocharge your conversion rates,UPLATFORM ANALYSIS,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/04/74291/1743774320-uplatform-why-onboarding-is-the-real-mvp-01.jpg,https://www.yogonet.com/international/news/2025/04/07/100464-how-seamless-onboarding-can-turbocharge-your-conversion-rates,yogonet.com,8,61,['How'],2025-04-10,e58d3a411490bf882eeaebaca2ae957a
"PENN partners with MLB Players Association for rights to MLB player names, images and likenesses",FOR ESPN BET AND THESCORE BET,https://imagenesyogonet.b-cdn.net/data/imagenes/2015/11/11/6243/1625187605-major-league-baseball-mlb-generica-01.jpg,https://www.yogonet.com/international/news/2025/04/08/100770-penn-partners-with-mlb-players-association-for-rights-to-mlb-player-names-images-and-likenesses,yogonet.com,15,96,"['Players', 'Association']",2025-04-10,15666cd8851aacb7c44b03fe6d201614
Massachusetts lawmakers push for stricter sports betting rules as addiction concerns grow,"TO CURB AGGRESSIVE MARKETING, BAN PROP BETS",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/01/21/71727/1737467674-john-keenan-senador-massachusetts.jpg,https://www.yogonet.com/international/news/2025/04/08/100878-massachusetts-lawmakers-push-for-stricter-sports-betting-rules-as-addiction-concerns-grow,yogonet.com,12,89,['Massachusetts'],2025-04-10,449956f91b8b47f92104f46046ebfd79
"Oddsgate: ""There’s a fundamental shift happening across LatAm, and we’re glad to be in the momentum","LUSIA BARSEGHYAN, CO-FOUNDER AND COO",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/08/74354/1744123310-lusia-barseghyan-co-founder-coo-oddsgate-01.jpg,https://www.yogonet.com/international/news/2025/04/08/100882-oddsgate-34theres-a-fundamental-shift-happening-across-latam-and-were-glad-to-be-in-the-momentum-34,yogonet.com,16,99,['Oddsgate:'],2025-04-10,9b7be8192a17b46afa109e98d36b8cdd
"Alabama lawmakers reject gambling bill, sponsor declares issue dead for decades","AMID ""MORE PRESSING MATTERS",https://imagenesyogonet.b-cdn.net/data/imagenes/2024/04/02/63050/1712070932-alabama-lawmakers-house.jpg,https://www.yogonet.com/international/news/2025/04/07/100790-alabama-lawmakers-reject-gambling-bill-sponsor-declares-issue-dead-for-decades,yogonet.com,11,79,['Alabama'],2025-04-10,f07a07ab1a9de8acd6e2d5bf3471102a
Macau casino stocks tumble as U.S.-China trade tensions escalate,HANG SENG PLUNGES 13%,https://imagenesyogonet.b-cdn.net/data/imagenes/2018/10/31/22078/1625250962-caida-ingresos-casinos-generica.jpg,https://www.yogonet.com/international/news/2025/04/07/100780-macau-casino-stocks-tumble-as-uschina-trade-tensions-escalate,yogonet.com,9,64,"['Macau', 'U.S.-China']",2025-04-10,3076dc54239ee793e5d11a2a158418df
